Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
1,League of Legends,1,2020,99657869,349964,8083,237426,134129,3974,33.74,
1,League of Legends,2,2020,121635889,412216,7253,211492,175015,3668,47.71,
1,League of Legends,3,2020,123599885,421581,8390,252555,166352,4122,40.36,
3,League of Legends,4,2020,135859472,727437,8802,243651,188956,4814,39.25,
3,League of Legends,5,2020,127698472,504630,8347,245122,171868,4734,36.3,
2,League of Legends,6,2020,143290296,556963,7519,215394,199291,4168,47.8,
2,League of Legends,7,2020,135123272,494759,7246,223201,181861,4372,41.59,
2,League of Legends,8,2020,142551572,707347,7440,229635,191859,4375,43.85,
3,League of Legends,9,2020,135008222,794857,6737,230335,187772,4415,42.53,
2,League of Legends,10,2020,171613067,2020835,8520,246211,230973,4531,50.97,
2,League of Legends,11,2020,121085351,345045,8877,254028,168407,4718,35.69,
3,League of Legends,12,2020,96413165,318449,7979,247003,129761,4437,29.24,
